name,descriptionAr,descriptionEn,image,categoryId,price,discountedPrice,handle
Coverderm Camouflage Perfect Lashes ,"ماسكارا متكاملة مقاومة للماء غنية بحمض الهيالورونيك وفيتامينات A,E,C","A complete waterproof mascara enriched with hyaluronic acid and vitamins A, E, and C",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Perfect-Lashes.png?alt=media&token=1bc1b0f4-7d73-43fc-9c00-f789fd2e4ebd,4,18,14.4,Coverderm-Camouflage-Perfect-Lashes
Coverderm Camouflage Perfect Legs,مكياج مقاوم للماء، مثالي لإخفاء عيوب الساقين,"A revolutionary waterproof make-up for legs and body! It perfectly conceals any blemish or imperfection on legs and body, 
 
 Recommended by dermatologists and make-up artists worldwide!
 
 An easily applied body make-up ideal to hide away minor or severe skin imperfection on your legs or body such as: varicose veins, stretch marks, phlebitis, vitiligo, scars, burns, dark marks, sun spots, moles, bruises and tattoos. Coverderm Perfect Legs is smudge-proof, magically staying on without ""breaking"" or ""streaking"", even under extremely harsh conditions such as any sports activity, swimming, dancing. 
 
 Highlights
 
 High cover legs and body makeup that lasts 24 hours, and provide high sun protection SPF 16
 100% waterproof formulation, that not break out even under extremely harsh conditions such swimming, sports activity, dancing. 
 Perfect for any man or woman that desires a perfect natural-looking effect that can last all day long.
 Perfect to be used to cover sever or minor skin imperfection and for special occasions: weddings, swimming, skiing, dancing, outdoor activities.
 It does not irritate the skin and allows it to breathe.
 Available in 9colours. Please refer to the colour chart to chose a shade appropriate for your skin and mention the number in your order's comment section.
 
 Clever make-up
 
 Camouflage make-up are real value for money: they provide coverage up to 5 times more than ordinary foundation, therefore it is better to use less quantity than more!
 Apply a small quantity of Perfect Legs on affected area and spreed it well with finger or a sponge. Fix it with Coverderm Finishing Powder. For a better coverage apply again, on a tapping way, as much as necessary until the spots will fade out. Each application have to be fixed with Finishing Powder.
 Apply Finishing Powder to fix the makeup. If is well fixed with Finishing powder the body makeup will stay on longer up to 24 hours and will not stain clothes,
 Apply Perfect legs 20 min. before you put on your clothes 
 Remove the body makeup with a soap and water.
  
 
 Frequently Asked Questions:
 
 How is Perfect legs Cream different from Perfect Legs Fluid?
 
 Perfect legs cream differ of Perfect legs Fluid because have a heavier consistency, offering a greater coverage for mild and severe imperfection. Can be applied in many layers, and each layer has to be fixed with Finishing Powder.
 Perfect legs Fluid has a lighter consistency and is used for minor imperfection or as a fashionable make up, and easier to apply for larger area on a body.
 Can I use it every day?
 Perfect Legs is hypoallergenic, is ideal to protect all sensitive skin areas from the harmful UVA-UVB sun rays on a daily basis, SPF 16.
 
 Is it visible to others?
 Perfect Legs conceals any skin imperfection with a natural looking effect. It discreetly stays on all day long without ""cracking"" or streaking even while sunbathing.
 
 Can I swim with Perfect Legs on?
 You can safely swim for as long as you wish! Perfect Legs is 100% waterproof and does not wear off even during swimming (or any other sport activities), keeping your legs and body younger-looking and more beautiful than ever.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Perfect-Legs.png?alt=media&token=138460c2-f35b-4bd7-81d7-c18a6abf908d,4,29,23.2,Coverderm-Camouflage-Perfect-Legs
Coverderm Camouflage Perfect Legs Fluid,سائل مثالي لإخفاء عيوب الساقين والجسم,"Top waterproof makeup for legs! This revolutionary waterproof leg make-up is suitable for swimming and perfectly conceals any blemish or imperfection on legs and body, such as varicose veins, stretch marks, phlebitis, vitiligo, scars, burns, dark marks, sun spots, moles, bruises and tattoos.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Perfect-Legs-Fluid.png?alt=media&token=30081dd6-a303-4b0a-a87d-a7c593395dca,4,38,30.4,Coverderm-Camouflage-Perfect-Legs-Fluid
Coverderm Camouflage Removing Cream,كريم منظف للبشرة يزيل المكياج من داخل المسام,"A completely different skin cleanser, combining an immediate and thorough cleansing action with an extreme gentleness
 
 Coverderm Camouflage Products form a unique product line, famous for concealing any major or minor skin imperfection on the face and body. Coverderm is proud to be the market leader in making that ""invisible"" beautiful difference to millions of people and deliver self-confidence and hapiness to their lives.
 
 Recommended by dermatologists and make-up artists worldwide!
 
 Removing Cream offers a thorough cleansing by removing the slightest trace of makeup from inside the pores, maintaining skin moisture and a fresh glow. It is hypoallergenic and can be safely used to remove makeup even from the eye area.
 
 Soothing action due to the glycerin and aloe vera content.
 
 Clever make-up
 
 Coverderm camouflage make-ups are real value for money: they provide coverage up to 5 times more than ordinary foundation, therefore it is better to use less quantity than more!
 
 To seal your lipstick ""forever"" apply a thin layer of Concealerunderneath your lipstick.
 
 Apply Finishing Powder on oily skin anytime during the day to absorb sebum and eliminate the shinny-look effect.
 
 Removing Cream is ideal to remove easily any make-up product, even waterproof mascaras and eye-liners.
 
 Before applying or after removing your make-up, nourish your skin with Skin Basics or your favourite moisturizer.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Removing-Cream.png?alt=media&token=cf8df892-0584-4ab5-a78a-ff92134fc3fa,4,14,11.2,Coverderm-Camouflage-Removing-Cream
Coverderm Camouflage Skin Protector ,"كريم خفيف للغاية، ذو قوام ناعمة، مثالي للاستخدام
 كأساس للمكياج.","The CVD Skin Protector provides a natural finish with long-lasting effects. Enriched with special ingredients that render hydration and form a barrier-film onto the skin, providing smoother application of the make-up while protecting from environmental damages. Suitable for all skin types.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Skin-Protector.png?alt=media&token=a9e2dbdd-6d9f-49eb-abad-b28f19a589db,4,21.5,17.2,Coverderm-Camouflage-Skin-Protector
Coverderm CC Cream Eye,مكياج للعينين يوفر 12 إجراء عناية شاملة إضافية.,Eye makeup provides 12 additional comprehensive care actions.,https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-CC-Cream-Eye.png?alt=media&token=a2624512-88cb-46d3-9273-310e4963cbef,4,20,16,Coverderm-CC-Cream-Eye
Coverderm CC Cream Face,كريم مرطب يدوم طويلاً ذو ملمس خفيف. ويعمل في نفس الوقت كمكياج طبيعي طويل الأمد وخالي من الزيوت وكنظام تجميل متكامل ومعزز للغاية بـ 12 إجراء.,"Long-lasting moisturizing cream with a light texture. It works simultaneously as a natural, long-lasting, oil-free make-up and as a complete and highly enhanced beauty system with 12 actions.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-CC-Cream-Face.png?alt=media&token=78f87cc7-287e-4ff4-9e68-128f265f5188,4,26,20.8,Coverderm-CC-Cream-Face
Coverderm Filteray After Sun ,جل كريم يرمم البشرة بعد التعرض للشمس,Gel cream that restores the skin after exposure to the sun,https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-After-Sun.png?alt=media&token=33cc2085-1b7a-4e7f-ba0e-6cbf10f55bc3,2,16,12.8,Coverderm-Filteray-After-Sun
Coverderm Filteray Body Plus Spray SPF 50+ ,منتج مبتكر يجمع بين واقي الشمس والعناية بعد الشمس في منتج واحد,"A pioneering composition that combines the high-sun protection body with the soothing properties of the after sun.
 
 Coverderm Filteray Body Plus Milk SPF50 +
 
 Pioneering ""2 in 1"" sunscreens that combine sunscreen and sunscreen care at the same time.
 
 The safest choice for protection from harmful sun rays UVA and UVB, thanks to the dynamic combination of 7 photostable filters. 
 Enriched with a combination of specific active ingredients, they also offer skin moisturizing, soothing and rejuvenating action.
 
 2 in 1 sunscreen & after sun
 Sun protection UVA / UVB.
 100% waterproof.
 Hypoallergenic.
 Clinically tested.
 Suitable for all skin types",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Body-Plus-Spray-SPF-50.png?alt=media&token=7cd037d1-93ef-4595-b45d-05d5830a2b77,5,16.5,13.2,Coverderm-Filteray-Body-Plus-Spray-SPF-50+
Coverderm Filteray Body Plus for Kids SPF 50+ ,منتج مبتكر يجمع بين واقي الشمس والعناية بعد أشعة الشمس في واحد.,An innovative product that combines sunscreen and after-sun care in one.,https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Body-Plus-for-Kids-SPF-50.png?alt=media&token=33bc1de5-5bbe-4598-824e-f70172cda7a0,5,16.5,13.2,Coverderm-Filteray-Body-Plus-for-Kids-SPF-50+
Coverderm Filteray Body Plus Milk SPF 50 ,منتج مبتكر يجمع بين واقي الشمس والعناية بعد الشمس في منتج واحد,"A pioneering composition that combines the high-sun protection body with the soothing properties of the after sun.
 
 Coverderm Filteray Body Plus Milk SPF50 +
 
 Pioneering ""2 in 1"" sunscreens that combine sunscreen and sunscreen care at the same time.
 
 The safest choice for protection from harmful sun rays UVA and UVB, thanks to the dynamic combination of 7 photostable filters. 
 Enriched with a combination of specific active ingredients, they also offer skin moisturizing, soothing and rejuvenating action.
 
 2 in 1 sunscreen & after sun
 Sun protection UVA / UVB.
 100% waterproof.
 Hypoallergenic.
 Clinically tested.
 Suitable for all skin types",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Body-Plus-Milk-SPF-50.png?alt=media&token=585dca2c-83d1-4c43-9247-285ca6b51b66,5,16,12.8,Coverderm-Filteray-Body-Plus-Milk-SPF-50
Coverderm Filteray Bodyplus Deep tan SPF 30+ ,منتج مبتكر يجمع بين واقي الشمس والعناية بعد أشعة الشمس في واحد.,An innovative product that combines sunscreen and after-sun care in one.,https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Bodyplus-Deep-tan-SPF-30.png?alt=media&token=12f6f519-f282-4e11-a3db-48d5bd41a0ea,5,16,12.8,Coverderm-Filteray-Bodyplus-Deep-tan-SPF-30+
Coverderm Filteray Face Plus SPF 50,"الواقي الشمسي المثالي للاستخدام اليومي. تم تحسينه
 بشكل كبير لتوفير الحماية الأكثر فعالية ضد أشعة الشمس
 فوق البنفسجية الضارة. بالإضافة إلى كونه لا يسبب الحساسية
 ومقاوم للماء.","The Coverderm Filteray Face Plus is the ideal sunscreen for the city and the sea, because it offers unparalleled protection from the rays of UVA / UVB / IR.
 
 It dramatically enhanced for the most effective protection against very harmful UVA.
 
 A combination of active ingredients, specific to the needs of dry / sensitive skins, it offers impressive properties after product sun:
 
  Reduction of oxidative stress
  Anti-aging and soothing
  Preventing spots and freckles
  maximum hydration
  Enhanced irritant action",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Face-Plus-SPF-50.png?alt=media&token=460a9d70-bbd9-4f42-a9e0-e5c98d9c91df,2,19.35,15.48,Coverderm-Filteray-Face-Plus-SPF-50
Coverderm Filteray Face SPF 60 ,"الواقي الشمسي الأكثر فعالية للبحر والمدينة
 ويوفر حماية طويلة جدًا من أشعة الشمس.
 لا يسبب الحساسية ومقاوم للماء بنسبة 100٪
 حتى عند السباحة أو التعرق.","Coverderm Filteray Face is a full range of facial protection that can be used at sea and the city, 12 months a year.
 
 Coverderm Filteray Face is a complete line for protecting the face that can be used in the sea and the city, 12 months a year.
 These sunscreens are unique and unique to the competition because:
 They offer protection for the face all day with just one application, even when we swim or sweat!
 They naturally contain photostable filters and are the safest method of protection.
 They offer protection from both infrared and ultraviolet sunlight ( UVA / UVB / IR ).
 It is 100% waterproof.
 Their distinctive aroma and easy application make them suitable for everyday use.
 They are hypoallergenic and suitable for all skin types.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Face-SPF-60.png?alt=media&token=e7bbce37-e87c-4529-af1a-5a081df825ff,2,24,19.2,Coverderm-Filteray-Face-SPF-60
Coverderm Filteray Face SPF 80 ,"الواقي الشمسي الأكثر فعالية للبحر والمدينة
 ويوفر حماية طويلة جدًا من أشعة الشمس.
 لا يسبب الحساسية ومقاوم للماء بنسبة 100٪
 حتى عند السباحة أو التعرق.","Coverderm Filteray Face is a full range of facial protection that can be used at sea and the city, 12 months a year.
 
 Coverderm Filteray Face is a complete line for protecting the face that can be used in the sea and the city, 12 months a year.
 These sunscreens are unique and unique to the competition because:
 They offer protection for the face all day with just one application, even when we swim or sweat!
 They naturally contain photostable filters and are the safest method of protection.
 They offer protection from both infrared and ultraviolet sunlight ( UVA / UVB / IR ).
 It is 100% waterproof.
 Their distinctive aroma and easy application make them suitable for everyday use.
 They are hypoallergenic and suitable for all skin types.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Face-SPF-80.png?alt=media&token=5ebb480a-39ad-46be-9e40-6e9083c031bf,2,25.5,20.4,Coverderm-Filteray-Face-SPF-80
Coverderm Filteray Skin Repair Face Cream Gel ,"كريم جل يوفر عناية خاصة للوجه بعد التعرض الطويل
 لأشعة الشمس. ينعش البشرة المجهدة ويعيد هيكلها
 ويلطفها ويريحها.","Coverderm Filteray After Sun, a skin repairing gel, cooling and refreshing 
 
 It freshens, soothes the skin from irritations and ensures deep and long-lasting hydration.
 A revolutionary, multi functional, creamy after sun gel texture for total sun damage.
 The most effective combination of ingredients, Panthenol and the natural ingredient Pentavitin, ensures deep and long-lasting hydration to the skin.
 The Aloe extract and Allantoin, thanks to their soothing properties, reduce irritation and give the skin a silky texture.
 Mode of use:
 Apply every day after exposure to sun radiation",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Filteray-Skin-Repair-Face-Cream-Gel.png?alt=media&token=fe739d58-4717-40b7-a0e9-a6b327f36f7d,2,16,12.8,Coverderm-Filteray-Skin-Repair-Face-Cream-Gel
Coverderm Luminous Compact Powder,"بودرة مضغوطة عاكسة للضوء تبيض البشرة 
 وتعالج فرط التصبغ","Coverderm Luminous Compact Powder powder is specially designed to treat freckles and blemishes on the skin while giving your skin radiance
 
 Characteristics:
 
 - Velvet texture,
 
 - Waterproof,
 
 - Hypoallergenic.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Luminous-Compact-Powder.png?alt=media&token=c17c4559-1215-461a-b9bc-7eaa837c5c0a,4,25,20,Coverderm-Luminous-Compact-Powder
